Country,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,CasesPer1M,DeathsPer1M,TotalTests,TestsPer1M,WHORegion,iso_alpha,CaseFatalityRate,RecoveryRate,ActiveCaseRate,TestsPerCase
USA,North America,331198130.0,5032179,0.0,162804.0,0.0,2576668.0,0.0,2292707.0,18296.0,15194.0,492.0,63139605.0,190640.0,Americas,USA,3.24,51.2,45.56,12.55
Brazil,South America,212710692.0,2917562,0.0,98644.0,0.0,2047660.0,0.0,771258.0,8318.0,13716.0,464.0,13206188.0,62085.0,Americas,BRA,3.38,70.18,26.44,4.53
India,Asia,1381344997.0,2025409,0.0,41638.0,0.0,1377384.0,0.0,606387.0,8944.0,1466.0,30.0,22149351.0,16035.0,South-EastAsia,IND,2.06,68.01,29.94,10.94
Russia,Europe,145940924.0,871894,0.0,14606.0,0.0,676357.0,0.0,180931.0,2300.0,5974.0,100.0,29716907.0,203623.0,Europe,RUS,1.68,77.57,20.75,34.08
South Africa,Africa,59381566.0,538184,0.0,9604.0,0.0,387316.0,0.0,141264.0,539.0,9063.0,162.0,3149807.0,53044.0,Africa,ZAF,1.78,71.97,26.25,5.85
Mexico,North America,129066160.0,462690,6590.0,50517.0,819.0,308848.0,4140.0,103325.0,3987.0,3585.0,391.0,1056915.0,8189.0,Americas,MEX,10.92,66.75,22.33,2.28
Peru,South America,33016319.0,455409,0.0,20424.0,0.0,310337.0,0.0,124648.0,1426.0,13793.0,619.0,2493429.0,75521.0,Americas,PER,4.48,68.14,27.37,5.48
Chile,South America,19132514.0,366671,0.0,9889.0,0.0,340168.0,0.0,16614.0,1358.0,19165.0,517.0,1760615.0,92022.0,Americas,CHL,2.7,92.77,4.53,4.8
Colombia,South America,50936262.0,357710,0.0,11939.0,0.0,192355.0,0.0,153416.0,1493.0,7023.0,234.0,1801835.0,35374.0,Americas,COL,3.34,53.77,42.89,5.04
Spain,Europe,46756648.0,354530,0.0,28500.0,0.0,2180.0,0.0,900.5,617.0,7582.0,610.0,7064329.0,151087.0,Europe,ESP,8.04,0.61,0.25,19.93
Iran,Asia,84097623.0,320117,0.0,17976.0,0.0,277463.0,0.0,24678.0,4156.0,3806.0,214.0,2612763.0,31068.0,EasternMediterranean,IRN,5.62,86.68,7.71,8.16
UK,Europe,67922029.0,308134,0.0,46413.0,0.0,2180.0,0.0,900.5,73.0,4537.0,683.0,17515234.0,257873.0,Europe,UKR,15.06,0.71,0.29,56.84
Saudi Arabia,Asia,34865919.0,284226,0.0,3055.0,0.0,247089.0,0.0,34082.0,1915.0,8152.0,88.0,3635705.0,104277.0,EasternMediterranean,SAU,1.07,86.93,11.99,12.79
Pakistan,Asia,221295851.0,281863,0.0,6035.0,0.0,256058.0,0.0,19770.0,809.0,1274.0,27.0,2058872.0,9304.0,EasternMediterranean,PAK,2.14,90.84,7.01,7.3
Bangladesh,Asia,164851401.0,249651,0.0,3306.0,0.0,143824.0,0.0,102521.0,0.0,1514.0,20.0,1225124.0,7432.0,South-EastAsia,BGD,1.32,57.61,41.07,4.91
Italy,Europe,60452568.0,249204,0.0,35187.0,0.0,201323.0,0.0,12694.0,42.0,4122.0,582.0,7099713.0,117443.0,Europe,ITA,14.12,80.79,5.09,28.49
Turkey,Asia,84428331.0,237265,0.0,5798.0,0.0,220546.0,0.0,10921.0,580.0,2810.0,69.0,5081802.0,60191.0,Europe,TUR,2.44,92.95,4.6,21.42
Argentina,South America,45236884.0,228195,0.0,4251.0,0.0,99852.0,0.0,124092.0,1150.0,5044.0,94.0,794544.0,17564.0,Americas,ARG,1.86,43.76,54.38,3.48
Germany,Europe,83811260.0,215210,0.0,9252.0,0.0,196200.0,0.0,9758.0,236.0,2568.0,110.0,8586648.0,102452.0,Europe,DEU,4.3,91.17,4.53,39.9
France,Europe,65288306.0,195633,0.0,30312.0,0.0,82460.0,0.0,82861.0,384.0,2996.0,464.0,3992206.0,61147.0,Europe,FRA,15.49,42.15,42.36,20.41
Iraq,Asia,40306025.0,140603,0.0,5161.0,0.0,101025.0,0.0,34417.0,517.0,3488.0,128.0,1092741.0,27111.0,EasternMediterranean,IRQ,3.67,71.85,24.48,7.77
Philippines,Asia,109722719.0,119460,0.0,2150.0,0.0,66837.0,0.0,50473.0,239.0,1089.0,20.0,1669996.0,15220.0,WesternPacific,PHL,1.8,55.95,42.25,13.98
Indonesia,Asia,273808365.0,118753,0.0,5521.0,0.0,75645.0,0.0,37587.0,0.0,434.0,20.0,1633156.0,5965.0,South-EastAsia,IDN,4.65,63.7,31.65,13.75
Canada,North America,37775022.0,118561,0.0,8966.0,0.0,103106.0,0.0,6489.0,2263.0,3139.0,237.0,4319172.0,114339.0,Americas,CAN,7.56,86.96,5.47,36.43
Qatar,Asia,2807805.0,112092,0.0,178.0,0.0,108831.0,0.0,3083.0,77.0,39922.0,63.0,511000.0,181993.0,EasternMediterranean,QAT,0.16,97.09,2.75,4.56
Kazakhstan,Asia,18798667.0,95942,0.0,1058.0,0.0,68871.0,0.0,26013.0,221.0,5104.0,56.0,2163713.0,115099.0,Europe,KAZ,1.1,71.78,27.11,22.55
Egypt,Africa,102516525.0,95006,0.0,4951.0,0.0,48898.0,0.0,41157.0,41.0,927.0,48.0,135000.0,1317.0,EasternMediterranean,EGY,5.21,51.47,43.32,1.42
Ecuador,South America,17668824.0,90537,0.0,5877.0,0.0,71318.0,0.0,13342.0,378.0,5124.0,333.0,258582.0,14635.0,Americas,ECU,6.49,78.77,14.74,2.86
Bolivia,South America,11688459.0,86423,1282.0,3465.0,80.0,27373.0,936.0,55585.0,71.0,7394.0,296.0,183583.0,15706.0,Americas,BOL,4.01,31.67,64.32,2.12
Sweden,Europe,10105596.0,81967,0.0,5766.0,0.0,2180.0,0.0,900.5,38.0,8111.0,571.0,863315.0,85429.0,Europe,SWE,7.03,2.66,1.1,10.53
Oman,Asia,5118446.0,80713,0.0,492.0,0.0,70910.0,0.0,9311.0,177.0,15769.0,96.0,309212.0,60411.0,EasternMediterranean,OMN,0.61,87.85,11.54,3.83
Israel,Asia,9197590.0,79559,0.0,576.0,0.0,53427.0,0.0,25556.0,358.0,8650.0,63.0,1872453.0,203581.0,Europe,ISR,0.72,67.15,32.12,23.54
Ukraine,Europe,43705858.0,76808,0.0,1819.0,0.0,42524.0,0.0,32465.0,158.0,1757.0,42.0,1116641.0,25549.0,Europe,UKR,2.37,55.36,42.27,14.54
Dominican Republic,North America,10858648.0,76536,0.0,1246.0,0.0,40539.0,0.0,34751.0,317.0,7048.0,115.0,281926.0,25963.0,Americas,DOM,1.63,52.97,45.4,3.68
Panama,North America,4321282.0,71418,0.0,1574.0,0.0,45658.0,0.0,24186.0,161.0,16527.0,364.0,240995.0,55769.0,Americas,PAN,2.2,63.93,33.87,3.37
Belgium,Europe,11594739.0,71158,0.0,9859.0,0.0,17661.0,0.0,43638.0,61.0,6137.0,850.0,1767120.0,152407.0,Europe,BEL,13.86,24.82,61.33,24.83
Kuwait,Asia,4276658.0,70045,0.0,469.0,0.0,61610.0,0.0,7966.0,127.0,16378.0,110.0,522200.0,122105.0,EasternMediterranean,KWT,0.67,87.96,11.37,7.46
Belarus,Europe,9449001.0,68503,0.0,580.0,0.0,63756.0,0.0,4167.0,0.0,7250.0,61.0,1344303.0,142269.0,Europe,BLR,0.85,93.07,6.08,19.62
UAE,Asia,9902079.0,61845,0.0,354.0,0.0,55739.0,0.0,5752.0,0.0,6246.0,36.0,5262658.0,531470.0,EasternMediterranean,,0.57,90.13,9.3,85.09
Romania,Europe,19224023.0,57895,0.0,2566.0,0.0,28992.0,0.0,26337.0,458.0,3012.0,133.0,1319369.0,68631.0,Europe,ROU,4.43,50.08,45.49,22.79
Netherlands,Europe,17138756.0,56982,0.0,6153.0,0.0,2180.0,0.0,900.5,37.0,3325.0,359.0,1079860.0,63007.0,Europe,NLD,10.8,3.83,1.58,18.95
